品种,周期,时间,参数,仓位,累计收益率,年化收益率,最大回测,卡玛比率,夏普比率,开仓次数,平常次数,胜率,回测id
SHFE.BU,60s,"('2016-05-25', '2019-06-21')","(-10, 7.5)",0.1,16%,5%,22%,0.23103084100000001,0.289185128,294,294,0.534013605,1000
CZCE.MA,60s,"('2016-05-25', '2019-06-21')","(-7, 7)",0.1,53%,17%,17%,1.0353018090000001,0.7103235790000001,369,369,0.5013550139999999,1001
DCE.M,60s,"('2016-05-25', '2019-06-21')","(-7, 7)",0.1,6%,2%,17%,0.111373352,0.13121439199999999,215,215,0.497674419,1002
SHFE.NI,60s,"('2016-05-25', '2019-06-21')","(-200, 180)",0.1,50%,16%,18%,0.885979095,0.82059509,487,487,0.53798768,1003
SHFE.AG,60s,"('2016-05-25', '2019-06-21')","(-7, 6)",0.1,42%,14%,9%,1.5660385680000002,0.93206154,236,236,0.525423729,1004
CZCE.TA,60s,"('2016-05-25', '2019-06-21')","(-15, 10)",0.1,23%,7%,18%,0.414267909,0.39612332,320,320,0.478125,1005
SHFE.RU,60s,"('2016-05-25', '2019-06-21')","(-25, 20)",0.1,2%,1%,37%,0.021224418999999998,0.028897014,1039,1039,0.439846006,1006
DCE.PP,60s,"('2016-05-25', '2019-06-21')","(-15, 10)",0.1,1%,0%,38%,0.008529680999999999,0.012642519,843,843,0.45788849299999995,1007
DCE.J,60s,"('2016-05-25', '2019-06-21')","(-6.5, 5.5)",0.1,162%,53%,19%,2.721618312,1.8073395069999998,524,524,0.532442748,1008
CZCE.SR,60s,"('2016-05-25', '2019-06-21')","(-10, 10)",0.1,5%,2%,13%,0.134993838,0.172936593,205,205,0.47804878,1009
CZCE.AP,60s,"('2016-05-25', '2019-06-21')","(-30, 23)",0.1,17%,6%,15%,0.377981403,0.411036689,205,205,0.4926829270000001,1010
SHFE.CU,60s,"('2016-05-25', '2019-06-21')","(-50, 50)",0.1,-32%,-10%,40%,-0.26366500600000004,-0.832062237,822,822,0.4513382000000001,1011
DCE.JD,60s,"('2016-05-25', '2019-06-21')","(-12, 10)",0.1,17%,6%,14%,0.394384096,0.505321159,201,201,0.5323383079999999,1012
CZCE.SF,60s,"('2016-05-25', '2019-06-21')","(-10, 10)",0.1,46%,15%,47%,0.32072661199999997,0.24475198899999998,465,463,0.44924406,1013
CZCE.ZC,60s,"('2016-05-25', '2019-06-21')","(-0.9, 0.8)",0.1,-8%,-3%,30%,-0.086093893,-0.142138245,772,772,0.465025907,1014
CZCE.CF,60s,"('2016-05-25', '2019-06-21')","(-35, 30)",0.1,-25%,-8%,32%,-0.252323046,-0.5831859770000001,304,304,0.463815789,1015
SHFE.FU,60s,"('2018-06-30', '2019-06-30')","(-8, 7)",0.1,2%,3%,12%,0.21003713899999998,0.155413932,156,155,0.541935484,1016
DCE.EG,60s,"('2018-06-30', '2019-06-30')","(-9, 7.5)",0.1,-9%,-9%,9%,-0.942791761,-1.623719942,11,11,0.363636364,1017
CZCE.CJ,60s,"('2018-06-30', '2019-06-30')","(-9, 7.5)",0.1,-4%,-4%,5%,-0.7180500559999999,-0.5233511120000001,48,48,0.39583333299999995,1018
